id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
1,Alaska,Anchorage,1,Mon 11/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.16,39.45,86,16,N,4.28,0,1002,100,1635800400,-28800
2,Alaska,Anchorage,2,Tue 11/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.12,40.3,91,15,N,3.1,0,1002,100,1635886800,-28800
3,Alaska,Anchorage,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.71,40.93,84,9,N,0,0,997,100,1635973200,-28800
4,Alaska,Anchorage,4,Thu 11/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,36.88,39.88,79,8,NE,0,0,998,99,1636059600,-28800
5,Alaska,Anchorage,5,Fri 11/5,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,34.43,36.28,98,8,S,0,3.77,997,100,1636146000,-28800
6,Alaska,Fairbanks,1,Mon 11/1,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,25.66,32.18,91,4,SW,0,0.11,1008,100,1635800400,-28800
7,Alaska,Fairbanks,2,Tue 11/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,26.42,32.54,88,3,N,0,1.43,1005,100,1635886800,-28800
8,Alaska,Fairbanks,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,21.43,29.39,85,4,N,0,0,995,99,1635973200,-28800
9,Alaska,Fairbanks,4,Thu 11/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,19.54,28.71,84,4,N,0,0,1000,61,1636059600,-28800
10,Alaska,Fairbanks,5,Fri 11/5,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,17.73,23.9,87,4,N,0,0,999,100,1636146000,-28800
11,Alaska,Juneau,1,Mon 11/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.03,49.55,53,6,NE,0,0,1008,6,1635796800,-28800
12,Alaska,Juneau,2,Tue 11/2,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.26,45.82,79,8,NE,0,0,1013,100,1635883200,-28800
13,Alaska,Juneau,3,Wed 11/3,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,41.07,42.82,97,7,SE,20.49,0,1006,100,1635969600,-28800
14,Alaska,Juneau,4,Thu 11/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.3,41.65,75,6,NE,0.39,0,998,100,1636056000,-28800
15,Alaska,Juneau,5,Fri 11/5,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,39.15,40.66,95,7,E,2.88,0.14,998,100,1636142400,-28800
16,Colorado,Denver/Boulder,1,Mon 11/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,32.7,43.95,66,7,E,0,0,1025,96,1635789600,-21600
17,Colorado,Denver/Boulder,2,Tue 11/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,32.77,47.64,57,5,NW,0.13,0,1020,100,1635876000,-21600
18,Colorado,Denver/Boulder,3,Wed 11/3,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,38.73,54,67,7,SW,0,0.23,1023,95,1635962400,-21600
19,Colorado,Denver/Boulder,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.56,63.79,17,9,SW,0,0,1014,3,1636048800,-21600
20,Colorado,Denver/Boulder,5,Fri 11/5,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,46.13,62.85,22,9,SW,0,0,1009,30,1636135200,-21600
21,Colorado,Grand Junction,1,Mon 11/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,46.63,64.15,33,5,NW,0,0,1017,100,1635789600,-21600
22,Colorado,Grand Junction,2,Tue 11/2,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,49.48,56.01,75,5,E,4.33,0,1021,100,1635876000,-21600
23,Colorado,Grand Junction,3,Wed 11/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.35,56.89,56,3,N,1.06,0,1023,12,1635962400,-21600
24,Colorado,Grand Junction,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,44.49,59.61,42,5,E,0,0,1020,4,1636048800,-21600
25,Colorado,Grand Junction,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,46.81,61.92,33,5,W,0,0,1017,4,1636135200,-21600
26,Colorado,Pueblo,1,Mon 11/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,31.05,55.76,41,12,E,0,0,1020,94,1635789600,-21600
27,Colorado,Pueblo,2,Tue 11/2,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.47,48.09,70,7,NE,0,0,1023,100,1635876000,-21600
28,Colorado,Pueblo,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.36,54.41,56,6,SE,0,0,1023,96,1635962400,-21600
29,Colorado,Pueblo,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,39.65,61.84,39,6,E,0,0,1017,0,1636048800,-21600
30,Colorado,Pueblo,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,45.27,74.19,17,16,W,0,0,1008,2,1636135200,-21600
31,Illinois,Chicago,1,Mon 11/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,32.65,45.88,45,11,W,0,0,1027,91,1635786000,-18000
32,Illinois,Chicago,2,Tue 11/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.05,44.35,46,11,W,0,0,1029,2,1635872400,-18000
33,Illinois,Chicago,3,Wed 11/3,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,32.18,44.2,39,5,NW,0,0,1030,18,1635958800,-18000
34,Illinois,Chicago,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.92,47.12,43,6,SW,0,0,1026,0,1636045200,-18000
35,Illinois,Chicago,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.84,50.13,47,8,S,0,0,1025,6,1636131600,-18000
36,Illinois,Lincoln,1,Mon 11/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,36.61,45.63,48,10,W,0,0,1029,100,1635786000,-18000
37,Illinois,Lincoln,2,Tue 11/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.47,46.17,42,10,NW,0,0,1030,2,1635872400,-18000
38,Illinois,Lincoln,3,Wed 11/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,32.23,45.55,41,5,N,0,0,1030,81,1635958800,-18000
39,Illinois,Lincoln,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.7,47.17,40,3,W,0,0,1027,0,1636045200,-18000
40,Illinois,Lincoln,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.23,51.17,37,8,SE,0,0,1026,1,1636131600,-18000
41,Indiana,Indianapolis,1,Mon 11/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.77,49.46,43,9,W,0,0,1027,100,1635786000,-14400
42,Indiana,Indianapolis,2,Tue 11/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,36.54,46.58,38,10,W,0,0,1029,0,1635872400,-14400
43,Indiana,Indianapolis,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,36.36,46.8,38,4,NW,0,0,1029,100,1635958800,-14400
44,Indiana,Indianapolis,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,36.32,47.71,42,4,NW,0,0,1026,5,1636045200,-14400
